Code;Name;Narrative_Structure
SN62;Habit Stacking (gentle);Existing habit -> Add micro‑action -> Short repetition -> Anchoring
SN63;Light Accountability (supportive peer);Simple agreement -> Brief check‑in -> Adjustment -> Maintenance
SN64;Conversational De‑escalation;Tension cue -> Pause/name -> Rephrase -> Calm closure
SN65;Express Decision Hygiene;Key question -> Max 2 options -> Simple choice -> Quick review
SN66;Environment Redesign;Visual cue -> Small context change -> Trial -> Stabilization
SN67;Recovery after Lapse;Minor lapse -> Normalize -> Micro‑correction -> Back to routine
SN68;Micro‑celebration -> Consolidation;Small success -> Name/validate -> Repeat -> Anchor
SN69;Gentle Re‑attribution;Harsh interpretation -> Gentle causal reframing -> Adjustment -> Relief
SN70;90‑Second Attention Reset;Interruption -> Breathe/stretch -> Refocus -> Smooth resume
SN71;Dramatic Arc (Freytag Pyramid) (long);Exposition -> Rising Action -> Climax -> Falling Action -> Denouement
SN72;Three-Act Structure (Aristotelian) (long);Setup -> Confrontation -> Resolution
SN73;Hero’s Journey (Campbell/Vogler) (long);Call -> Trials -> Ordeal/Death -> Revelation -> Return (transformed)
SN74;Story Circle (Dan Harmon) (long);You -> Need -> Go -> Search -> Find -> Take -> Return -> Change
SN75;Save the Cat (Beat Sheet – compact) (long);Setup -> Catalyst -> Debate -> Break‑Into‑2 -> Midpoint -> Bad‑to‑Worse -> Break‑Into‑3 -> Finale
SN76;Fichtean Curve (Chain of Crises) (long);Incident -> Crisis₁ -> Crisis₂ -> Crisis₃ -> Climax -> Aftermath
SN77;Seven‑Point Plot (long);Hook -> First Plot Pt -> First Pinch -> Midpoint -> Second Pinch -> Second Plot Pt -> Resolution
SN78;Kishōtenketsu (non‑conflict) (long);Ki (intro) -> Shō (development) -> Ten (twist) -> Ketsu (synthesis)
SN79;Rags‑to‑Riches (Ascending Arc) (long);Lack -> Opportunity -> Trials -> Breakthrough -> Reward/Stability
SN80;Voyage‑and‑Return (long);Ordinary World -> Departure -> Strange World -> Ordeal -> Return (lessons kept)
SN81;Tragedy (Fall) (long);Promise -> Hubris/Flaw -> Reversal -> Catastrophe -> Aftermath
SN82;Branching Case (Interactive/Advice) (long);Setup -> Decision between {Path A or Path B} -> End
SN83;Story Spine (Pixar/Kenn Adams) (long);Once upon a time… -> Every day… -> But/One day… -> Because of that… (x2+) -> Until finally… -> Ever since then…
SN84;Overcoming the Problem (Booker—softened) (long);Concrete problem -> Diagnosis -> Simple plan -> Implementation -> Evaluation -> Stabilization
SN85;The Quest (Booker) (long);Call to quest -> Journey & trials -> Approach/Ordeal -> Goal achieved -> Return & lesson
SN86;Comedy (Booker) (long);Misunderstandings/Confusion -> Complications -> Revelations/Recognitions -> Union/Resolution
SN87;Rebirth (Booker) (long);Enchantment/Stagnation -> Lowest point -> Empathy trigger -> Transformation -> Renewal
SN88;Whodunit / Mystery (long);Crime/mystery -> Investigation (clues & red herrings) -> Revelation (unmasking) -> Denouement
SN89;Story Grid — Five Commandments (long);Inciting Incident -> Progressive Complications -> Crisis -> Climax -> Resolution
SN90;Dan Wells — Seven‑Point (long);Hook -> Plot Turn 1 -> Pinch 1 -> Midpoint -> Pinch 2 -> Plot Turn 2 -> Resolution
SN91;27‑Chapter Method (Kat O’Keeffe) (long);Act I (9 blocks) -> Act II (9 blocks) -> Act III (9 blocks) — 3×9 chapter progression
SN92;Aristotle’s Poetics (complex plot) (long);Setup/Complication -> Peripeteia (reversal) + Anagnorisis (recognition) -> Resolution
SN93;Heroine’s Journey (Murdock) (long);Separation from the feminine -> Identification with the masculine -> Trials -> Illusion of success/aridity -> Re‑integration/Union
SN94;Romancing the Beat (Gwen Hayes) (long);Setup -> Internal/external complications -> Crisis/Risk of breakup -> HEA/HFN
SN95;Snowflake Method (Ingermanson) (long);One sentence -> One paragraph -> Character sheets -> One page per character -> Four‑page plot -> Scene lists (iterative)
SN96;Story Genius (Lisa Cron) (long);Inside outline: causal backstory -> Inner need -> Scene chain cause->effect -> POV & theme made explicit
SN97;Thematic Square (Robert McKee) (long);Value -> Contrary -> Contradictory -> Negation of the negation
SN98;Five‑Act Structure (long);Exposition -> Rising Action -> Climax -> Falling Action -> Denouement
SN99;In medias res (long);Start in the middle of the action -> Fill in backstory (flashbacks/dialogue) -> Rising action -> Climax -> Resolution
SN100;Adventure Arc (long);Ordinary world -> Departure into unstable world -> Sequence of escalating obstacles -> Survival/escape/resolution -> Return or open ending
SN101;Chase Arc (long);Threat appears -> Flight -> Alternating pursuit cycles -> Close call or reversal -> Capture or escape resolution
SN102;Rescue Arc (long);Victim captured -> Discovery -> Quest toward antagonist -> Confrontation -> Liberation (or failure)
SN103;Escape Arc (long);Unjust captivity -> Failed attempts -> Ingenuity/ally support -> Breakout -> Pursuit aftermath or freedom
SN104;Revenge Arc (long);Initial harm -> Moral shock/decision -> Preparation and escalation -> Confrontation -> Retribution or moral collapse
SN105;Enigma/Mystery Arc (long);Unknown phenomenon -> Clues collected -> False leads and revelations -> Core discovery -> Explanation/resolution
SN106;Rivalry Arc (long);Two forces introduced -> Competition escalates -> Retaliations/strategic shifts -> Decisive confrontation -> Victory
SN107;Outsider Arc (long);Disadvantaged protagonist -> Social or systemic resistance -> Small breakthroughs -> Major proving test -> Recognition or dignified failure
SN108;Temptation Arc (long);Desire or forbidden lure -> Internal conflict -> Yielding or resisting -> Consequences -> Reassessment/transformation
SN109;Sacrifice Arc (long);Rising stakes -> Moral dilemma -> Costly choice -> Self-sacrifice -> Restoration or tragic consequence
