name,Country,Sport,Height
Jeffrey Carroll,South Korea,Basketball,1.95
Kelli Wagner,USA,Badminton,2.08
Gloria Sherman,USA,Badminton,1.85
Larry Grant,South Korea,Basketball,2.19
Melinda Hancock,USA,Archery,1.79
Joshua Kennedy,USA,Archery,1.75
Diana Maldonado,USA,Basketball,1.78
Sandy Ferguson,South Korea,Archery,1.74
Gerald Davis,USA,Basketball,2.27
Michelle Clayton,USA,Archery,1.52
Lindsay Thompson,USA,Badminton,2.03
Scott Reynolds,USA,Badminton,1.94
Phillip Wilson,USA,Badminton,1.94
Jennifer Kennedy DVM,South Korea,Badminton,1.94
Michael Hall,NZ,Archery,1.6
Kyle Brown,USA,Archery,1.7
Candace Turner,USA,Badminton,1.93
Kathleen Cortez,USA,Badminton,1.78
Terrence Shaw,USA,Basketball,2.15
Bradley Flores,USA,Basketball,2.18
Sarah Barker,Denmark,Badminton,2.19
Timothy Dodson,USA,Badminton,1.8
Jessica Moore,USA,Archery,1.51
Anthony Middleton,USA,Archery,1.78
Lisa Torres,USA,Archery,1.6
Brian West,USA,Basketball,1.98
Keith Cook,USA,Badminton,1.85
Shaun Reese,South Korea,Basketball,1.97
Christopher Haynes,Denmark,Archery,1.73
Jessica King,USA,Basketball,2.24
Timothy Scott,USA,Badminton,1.65
Donna Page,South Korea,Basketball,2.05
Elizabeth Figueroa,USA,Badminton,1.78
Melissa Gould,USA,Badminton,1.76
Michael Taylor,South Korea,Archery,1.73
Desiree Arellano,South Korea,Badminton,1.93
Ricardo Howard,USA,Archery,1.93
Ashley Johnson,USA,Basketball,1.98
Cindy Woods,South Korea,Badminton,1.93
Christopher Bowman,Denmark,Badminton,1.92
David Jones,South Korea,Badminton,1.88
Andrew Miller,USA,Basketball,2.05
Joel Guzman,NZ,Badminton,1.92
Christine Bryan,USA,Badminton,1.96
Cynthia Torres,Denmark,Badminton,1.89
Christopher Smith,USA,Badminton,1.91
Brandon Finley,USA,Basketball,1.9
Kimberly Jones,NZ,Badminton,1.96
Nicole Jones,USA,Badminton,1.82
Anna Smith,South Korea,Basketball,1.95
Jill Jones,USA,Basketball,2.0
Robert Cameron,USA,Badminton,1.87
Teresa Cline,USA,Badminton,2.11
Katrina Lewis,South Korea,Badminton,1.78
Nancy Smith,NZ,Badminton,1.96
Mr. Zachary Lane Jr.,Denmark,Basketball,2.15
Christopher Myers,South Korea,Archery,1.8
Daniel Green,NZ,Basketball,2.1
Claire Montgomery,Denmark,Badminton,1.83
Jeremy Harvey,South Korea,Archery,1.81
John Johnston,USA,Archery,1.72
Kelli Scott,South Korea,Basketball,2.15
Stephanie Huff,USA,Basketball,1.98
Tyler Wells,South Korea,Archery,1.73
Christopher Murray,NZ,Badminton,1.91
Timothy Long,NZ,Basketball,1.96
Jennifer Baker,USA,Basketball,2.26
Larry Shaffer,USA,Archery,1.65
Gary Nielsen,South Korea,Badminton,1.63
Edward Mclaughlin,NZ,Basketball,2.14
Kurt Smith,Denmark,Basketball,2.08
Renee Martin,USA,Archery,1.63
James Humphrey,USA,Archery,1.8
Crystal Mitchell,South Korea,Archery,1.87
Jessica Evans,USA,Basketball,1.98
James Tucker,USA,Basketball,2.04
Amanda Harmon,USA,Archery,1.92
Michael Joyce,South Korea,Archery,1.79
Danielle Pope,South Korea,Archery,1.7
Leah Roberson,USA,Basketball,1.9
Stephanie Mora,USA,Basketball,1.98
Joshua Richard,USA,Badminton,1.67
Kelly Romero,USA,Basketball,2.07
Brittney Haas,South Korea,Archery,1.87
Michael Woods,Denmark,Basketball,1.91
Nicholas Thompson,NZ,Archery,1.66
Ryan Pitts,USA,Basketball,2.07
Christina Spencer,USA,Badminton,1.86
Robert Barker,South Korea,Badminton,1.98
Katherine Johnson,Denmark,Basketball,2.11
Todd Campbell,USA,Archery,1.83
Mr. Michael Jenkins DDS,USA,Basketball,1.89
Brenda Graham,USA,Basketball,2.0
James Reed,USA,Archery,1.78
Cindy Cooper,USA,Badminton,1.88
William Wolf,NZ,Archery,1.64
Nicole Molina DDS,Denmark,Badminton,1.98
Kim Wilkerson,South Korea,Archery,1.71
Katrina Morris,USA,Archery,1.99
Michael Davis,Denmark,Basketball,2.04
Tyler Sanchez,USA,Archery,1.71
Mary Robertson,USA,Basketball,1.99
Cassandra Anderson,USA,Archery,1.6
Kathy Stewart,USA,Basketball,1.88
Michele Delgado,USA,Archery,1.8
Patricia Frank,NZ,Basketball,1.98
Sabrina Short MD,NZ,Archery,1.62
Anthony Smith,NZ,Archery,1.57
George Hampton,USA,Archery,1.73
April Gentry,South Korea,Badminton,1.87
Ryan Bell,South Korea,Archery,1.8
Darlene Gamble,USA,Archery,1.65
Sherry Lane,USA,Basketball,2.0
Pamela Price,USA,Badminton,1.69
Cynthia Holt,USA,Basketball,1.86
Courtney Mcdonald,Denmark,Archery,1.65
James Martinez,USA,Archery,1.54
Henry Diaz,South Korea,Badminton,1.96
Lori Mccann,USA,Archery,1.83
Paul Delacruz,USA,Archery,1.72
Darrell Lyons,Denmark,Badminton,1.95
Charles Richardson,USA,Badminton,2.04
Paula Thompson,USA,Badminton,1.9
David Wright,USA,Archery,1.8
Karla Sandoval,USA,Archery,1.68
Jaime Rogers,USA,Archery,1.84
Carlos Owen,USA,Archery,1.65
Nichole Graham,Denmark,Badminton,1.96
Charles Bowen,South Korea,Archery,1.9
Ryan Young,South Korea,Basketball,2.01
Adam Estrada,USA,Badminton,1.92
Patricia Sanders,USA,Basketball,2.13
Robin Palmer,USA,Basketball,1.97
Alicia Burke,USA,Archery,1.67
Jon Simmons,USA,Basketball,2.15
Jessica Hansen,South Korea,Badminton,1.97
Victoria Morales,South Korea,Archery,1.58
Alexis Martinez,South Korea,Badminton,1.98
Matthew Rodriguez,USA,Archery,1.71
Kara Medina,USA,Archery,1.57
Brenda Smith,NZ,Basketball,2.0
Kelly Thompson,USA,Badminton,1.95
Jeremy Dunlap,USA,Basketball,2.01
Matthew Lee,USA,Badminton,1.9
Lauren Ward,South Korea,Basketball,1.99
Julie Davis,NZ,Badminton,1.86
Michael Kent,Denmark,Archery,1.6
Anthony Stevenson,USA,Archery,1.72
Noah Diaz,South Korea,Basketball,1.94
Carlos Cox,USA,Archery,1.69
Brian Richard,NZ,Basketball,2.1
Laurie Herman,South Korea,Basketball,2.07
Mr. David Holmes,USA,Badminton,1.91
Jordan Williamson,USA,Badminton,1.88
Vincent Brooks,USA,Badminton,1.82
Laura Meyer,Denmark,Badminton,1.87
Eric Reynolds,USA,Basketball,1.86
Christian Bruce,USA,Archery,1.68
Joy Smith,USA,Badminton,1.8
John Anderson,Denmark,Archery,1.6
Mark Case,Denmark,Badminton,1.95
Mark Ramos,Denmark,Badminton,1.8
Steven Jensen,USA,Archery,1.67
Amanda Mason,USA,Badminton,2.12
Jacqueline Kelly,USA,Badminton,1.93
James Evans,Denmark,Badminton,1.8
Corey Soto,USA,Badminton,1.98
Ariel Mayer,USA,Archery,1.72
Zachary Castillo,Denmark,Archery,1.63
Joshua Lewis,Denmark,Basketball,2.1
Joe Norman,NZ,Badminton,1.99
Lori Oliver,South Korea,Archery,1.8
Anna Scott,Denmark,Archery,1.74
Derrick Oliver,USA,Badminton,1.71
Ricardo May,USA,Basketball,1.92
Angela Yoder,Denmark,Basketball,2.08
Jason Dixon,USA,Badminton,2.04
Christopher Johnson,South Korea,Archery,1.66
Hannah Jackson,South Korea,Badminton,1.94
Rachel White,NZ,Badminton,1.88
Melissa Pitts,South Korea,Archery,1.74
Gerald Smith,USA,Basketball,2.07
Nicole James,South Korea,Basketball,2.17
Tammy Hanson,USA,Basketball,2.25
Brenda Mcdonald,USA,Archery,1.93
Angela Robinson,USA,Badminton,1.96
Justin Oconnor,USA,Archery,1.5
Patty Armstrong,South Korea,Archery,1.85
Michael Nelson,USA,Basketball,2.3
Kenneth Ward,USA,Badminton,1.89
Ms. Margaret Rodriguez,South Korea,Badminton,1.84
Taylor Burns,NZ,Basketball,2.17
Carmen Christian,USA,Basketball,1.81
Nancy Martinez,USA,Archery,1.5
Victoria Mcbride,USA,Badminton,2.03
Jessica Ward,USA,Archery,1.86
Timothy Harrison,USA,Badminton,1.93
Emily Blankenship,South Korea,Badminton,1.88
Christopher Crawford,USA,Badminton,1.93
Rebecca Roberts,NZ,Basketball,1.98
Janet Conrad,Denmark,Badminton,1.97
Douglas Yang,USA,Badminton,1.85
Shelly Smith,NZ,Archery,1.74
Danielle Carter,USA,Badminton,1.85
David Walker,USA,Archery,1.61
Carlos Espinoza,NZ,Badminton,1.87
Elizabeth Anderson,USA,Badminton,1.89
Madeline Spencer,NZ,Archery,1.74
Lisa Young,South Korea,Archery,1.69
Dominique Meyer,Denmark,Basketball,2.22
Lisa Williams,South Korea,Basketball,2.02
John Rodriguez,NZ,Basketball,1.97
Tonya Ramos,Denmark,Basketball,1.96
Angela Rasmussen,USA,Basketball,2.22
Kaitlyn Yates,South Korea,Archery,1.57
Ruth Stout,USA,Badminton,2.02
Erica Jones,USA,Archery,1.79
Elizabeth Jenkins,NZ,Basketball,2.22
Ellen Lopez,USA,Badminton,2.01
Dr. Veronica Vega,USA,Basketball,2.02
Gerald Morales,USA,Archery,1.61
Gina Townsend,South Korea,Basketball,2.08
Robert White,South Korea,Basketball,1.95
Kevin Gibson,Denmark,Archery,1.86
Tammy Anderson,USA,Archery,1.67
Kristi Esparza,NZ,Basketball,1.78
George Blake,USA,Basketball,2.05
Alicia Caldwell,South Korea,Badminton,1.9
Christopher Byrd,USA,Basketball,2.13
Andrew Anderson,USA,Basketball,1.99
Nicole Beard,USA,Archery,1.76
Jessica Martinez,Denmark,Archery,1.91
Douglas Anderson,USA,Badminton,1.97
Debbie Davies,Denmark,Basketball,2.14
Donna Burnett,NZ,Archery,1.66
Kristina Cohen,USA,Badminton,1.91
Jordan Russo,USA,Badminton,1.97
Sonya Jones,South Korea,Badminton,2.02
Joseph Alvarado,NZ,Archery,1.67
Natalie Clayton,NZ,Badminton,1.86
Gregory Hicks,USA,Basketball,1.97
Connor Miller,USA,Basketball,2.25
Deborah Lopez,South Korea,Basketball,2.06
Michael Moore,South Korea,Archery,1.57
Veronica Green,USA,Badminton,2.08
Chad Garrett MD,USA,Badminton,1.89
Alexander Roach,USA,Badminton,2.07
Samantha Galloway,Denmark,Basketball,2.02
James Elliott,USA,Archery,1.61
Bianca Mccann,NZ,Basketball,1.98
Tammy Dyer,USA,Badminton,1.71
Samantha Jacobs,South Korea,Badminton,1.85
Katrina Martin,South Korea,Basketball,1.94
Zachary Wilson,NZ,Badminton,1.84
Kyle Jenkins,South Korea,Archery,1.63
Donna White,USA,Archery,1.71
Michael Smith,USA,Badminton,2.22
Darrell Davis,USA,Badminton,1.7
Heather Benitez,USA,Basketball,2.17
Daniel Perez,NZ,Badminton,1.94
Brian Perry,South Korea,Basketball,1.98
Joseph Williams,Denmark,Badminton,1.91
Donna Rodgers,USA,Badminton,2.15
Kelsey Walter,USA,Archery,1.56
John Rojas,South Korea,Badminton,2.14
Ms. Diane Gaines,USA,Archery,1.62
Amanda Delgado,USA,Badminton,1.8
Savannah Ward,USA,Badminton,1.92
Karen Lindsey,Denmark,Archery,1.73
Marco Mason,USA,Basketball,2.09
Jacqueline Wilson,South Korea,Badminton,1.75
Alexa Blair,USA,Badminton,2.19
Wesley Bautista,USA,Archery,1.64
Jeremy Pineda MD,South Korea,Basketball,1.79
Hannah Parker,USA,Archery,1.73
Erik Mendoza,USA,Basketball,1.97
John Keller,USA,Archery,1.78
Danielle Johnson,USA,Badminton,2.08
Stephanie Marshall,USA,Basketball,2.09
Connie Oneal,USA,Archery,1.64
Michael Guerrero,USA,Badminton,1.77
Veronica Ellis,NZ,Archery,2.01
Amy Webb,USA,Archery,1.69
Katherine Mason,USA,Badminton,1.94
Nicole Miller,Denmark,Badminton,1.83
Scott Harrison,USA,Badminton,1.82
Jonathan Mccoy,USA,Archery,1.74
Tara Davis,USA,Badminton,1.7
Pamela Lewis,USA,Basketball,1.77
Daniel King,USA,Archery,1.58
Jamie Lewis,USA,Basketball,2.02
Philip Mcdaniel,South Korea,Archery,1.75
Stephanie Woodard,USA,Archery,1.68
Jennifer Bell,USA,Archery,1.74
Andrea Allen,USA,Archery,1.61
Christina Middleton,NZ,Basketball,1.95
Michael Wilkins,USA,Badminton,1.91
Walter Huffman,USA,Archery,1.56
Samantha Burch,NZ,Archery,1.8
Joseph Long,USA,Archery,1.65
William Colon,USA,Basketball,2.11
Stephen Cooper,Denmark,Basketball,2.06
Melinda Newton,USA,Archery,1.71
Heather Jones,USA,Archery,1.68
Melanie Nguyen,USA,Badminton,1.63
Kelly Stein,South Korea,Badminton,1.7
Donald Cowan,South Korea,Basketball,2.25
Cassandra Tate,USA,Badminton,1.91
Daniel Miller,South Korea,Basketball,1.97
Rebecca Price DDS,USA,Badminton,1.85
Kimberly Stanley,South Korea,Basketball,2.01
Jeffrey Rogers,Denmark,Badminton,1.99
Robin Chang,USA,Badminton,1.87
Heather Barajas,NZ,Archery,1.61
Mr. Troy Bowers MD,USA,Badminton,1.87
Savannah Wright,USA,Badminton,1.77
Sergio Macdonald,USA,Archery,1.75
Casey Curry,South Korea,Badminton,2.15
Carla Myers,USA,Archery,1.81
Joseph Mcconnell,USA,Basketball,1.94
Peter Jackson,USA,Badminton,1.82
Katherine Owens,Denmark,Basketball,2.19
Matthew Hall,USA,Badminton,1.82
Ivan Harrison,USA,Basketball,2.17
Shawn Williams,Denmark,Basketball,1.88
Brandon Andersen,USA,Basketball,2.01
David Dennis,South Korea,Basketball,1.89
Vanessa Ball,NZ,Badminton,1.91
Mrs. Megan Young,USA,Basketball,2.11
David Fisher,USA,Basketball,2.24
Shane Rios,South Korea,Archery,1.73
Matthew Lewis,USA,Basketball,2.14
Kyle Mata,Denmark,Badminton,2.02
Richard Lara,South Korea,Archery,1.71
James Mora,Denmark,Archery,1.79
Jessica Rodriguez,USA,Badminton,1.86
Richard Valenzuela,USA,Badminton,1.85
Candace Nelson,USA,Badminton,1.99
Joan Johnson,USA,Badminton,2.01
April Henderson,USA,Archery,1.73
Michelle Bartlett,USA,Archery,1.83
Terri Campbell,South Korea,Badminton,1.67
Douglas Wilson,South Korea,Archery,1.69
Wanda Walker,USA,Badminton,1.83
Whitney Payne,USA,Archery,1.64
David Benton,USA,Basketball,1.96
Beth Miller,South Korea,Badminton,1.92
Raymond Rodgers,USA,Archery,1.61
Edwin Chapman,South Korea,Badminton,1.72
James Garcia,South Korea,Basketball,1.99
Dr. Kimberly Mendoza,South Korea,Badminton,1.8
Alec Williams,Denmark,Archery,1.8
Michael Tanner,Denmark,Archery,1.73
Kevin Hernandez,South Korea,Archery,1.79
Kelly Walker,USA,Basketball,1.94
Christine Wright,Denmark,Archery,1.64
Stephanie Spencer,USA,Badminton,1.74
Michelle Wheeler,USA,Basketball,2.14
Andrew Lopez,USA,Basketball,2.05
Carly Shea,USA,Archery,1.61
Sarah Riggs,South Korea,Badminton,1.83
Crystal Ray,USA,Basketball,2.18
Sarah Flowers,NZ,Basketball,1.95
Stephanie Sims,South Korea,Archery,1.8
Michael Lee,South Korea,Basketball,1.91
Grace Figueroa,USA,Basketball,2.06
Kristen Mullen,South Korea,Archery,1.83
Charles Whitehead,Denmark,Archery,1.95
Ellen Martinez,NZ,Basketball,2.02
Jeremy Stone,South Korea,Badminton,1.84
Daniel Saunders,USA,Badminton,1.97
Amy Lutz,South Korea,Badminton,1.72
Tyler Maldonado,NZ,Archery,1.67
Timothy Carter,USA,Basketball,2.06
Jerry Padilla,NZ,Archery,1.76
Jose Harris,Denmark,Badminton,1.84
Peter Ford,USA,Badminton,1.84
Cory Carlson,USA,Basketball,2.09
Vanessa Conrad,USA,Basketball,2.3
Mark Summers,USA,Basketball,2.1
Ricky Dennis,Denmark,Archery,1.75
Stephanie Murphy,Denmark,Archery,1.73
Julie Rojas,Denmark,Archery,1.67
Rodney Moore,USA,Basketball,1.88
Willie Owens,USA,Badminton,1.72
Marcus Sims,Denmark,Archery,1.65
Justin Dunn,USA,Archery,1.71
Ronnie Sanchez,NZ,Badminton,2.04
Nicole Smith,NZ,Archery,1.86
Jennifer Johnson,USA,Badminton,1.93
Michael Murray,USA,Basketball,2.06
Ashley Young,South Korea,Badminton,1.89
Shannon Mccoy,South Korea,Badminton,1.83
Timothy Ruiz,South Korea,Archery,1.79
Kevin Griffith,NZ,Basketball,1.9
Brenda Wright,South Korea,Badminton,1.99
Kimberly Aguilar,Denmark,Basketball,2.07
Erica Long MD,South Korea,Archery,1.59
Geoffrey Sampson,Denmark,Archery,1.72
Jennifer Fowler,USA,Badminton,1.98
Jeremy Figueroa,USA,Badminton,1.97
Timothy Moore,USA,Archery,1.76
Michael Knapp,South Korea,Badminton,1.92
Jacob Davis,South Korea,Archery,1.71
Lisa Williams,Denmark,Basketball,2.08
Derrick Abbott,USA,Basketball,2.15
Edward Parrish,USA,Archery,1.63
Christine Moreno,USA,Basketball,2.0
Kristina Mccarthy,NZ,Archery,1.79
Ronald Barrera,NZ,Badminton,1.78
