GeneSet	BroadCelltypePathway	Lineage	GeneSet_index	Concept_index	Description	Genes	Reference	n_genes
ExhCD8Tcell_l_Danaher17	Exhausted_Tcell	Lymphoid_lineage_T/NKcell	30	10	Exhausted-like CD8-positive T cells; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	CD244:EOMES:LAG3:PTGER4	PMID: 28239471	4
ExhCD8Tcell_sc	Exhausted_Tcell	Lymphoid_lineage_T/NKcell	31	10	Exhausted-like alpha-beta CD8 T cell; data-derived v9	PDCD1:HAVCR2:LAG3:ENTPD1:CD38:TOX	PMID: 34761219	6
ExhTcell_l_Li19	Exhausted_Tcell	Lymphoid_lineage_T/NKcell	32	10	Exhausted-like, dysfunctional T effector T cell markers according to Li et al. Cell 2019	TIGIT:PDCD1:LAG3:CXCL13:RBPJ:ZBED2:ETV1:ID3:MAF:PRDM1:EOMES:IFNG	PMID: 30595452	12
ExhTcell_l_Tirosh16	Exhausted_Tcell	Lymphoid_lineage_T/NKcell	33	10	Exhausted-like T cell; obtained from literature https://science.sciencemag.org/content/sci/suppl/2016/04/07/352.6282.189.DC1/Tirosh.SM.pdf	CXCL13:TNFRSF1B:RGS2:TIGIT:CD27:TNFRSF9:SLA:RNF19A:INPP5F:XCL2:HLA-DMA:FAM3C:UQCRC1:WARS1:EIF3L:KCNK5:TMBIM6:CD200:ZC3H7A:SH2D1A:ATP1B3:MYO7A:THADA:PARK7:EGR2:FDFT1:CRTAM:IFI16	PMID: 27124452	28
Target_marker_GeneBio	Immune_checkpoint	Lymphoid_lineage_T/NKcell	34	11	Immunotherapy target marker: PD1_PD-L1_CTLA4, Kong J H, et al. Nature communications, 2022, 13(1): 3703.	PDCD1:CD274:CTLA4	PMID:30127393	3
Target_marker_CTLA4	Immune_checkpoint	Lymphoid_lineage_T/NKcell	35	11	Single target marker CTLA4	CTLA4	PMID:30127393,PMID:35764641	1
Target_marker_PD1	Immune_checkpoint	Lymphoid_lineage_T/NKcell	36	11	Single target marker PDCD1	PDCD1	PMID:30127393,PMID:35764641	1
Target_marker_PDL1	Immune_checkpoint	Lymphoid_lineage_T/NKcell	37	11	Single target marker CD274	CD274	PMID:30127393,PMID:35764641	1
Immune_checkpoints	Immune_checkpoint	Lymphoid_lineage_T/NKcell	38	11	Immune Checkpoint	CD274:CTLA4:HAVCR2:LAG3:PDCD1:PDCD1LG2:TIGIT	PMID: 29443960	7
RegTcell_Blood_l_Zhang18	Treg	Lymphoid_lineage_T/NKcell	39	12	Regulatory T cell signature according to Zhang et al. Nature 2018 - Cluster C10_CD4_FOXP3 from https://doi.org/10.1038/s41586-018-0694-x	FOXP3:IL2RA:IL10RA:IKZF2:RTKN2:CDC25B:S1PR4	PMID: 30479382	7
RegTcell_Combes22	Treg	Lymphoid_lineage_T/NKcell	40	12	Regulatory T cell; derived from FACS-sorted tumor bulk RNAseq; Combes et al. Cell 2022	FOXP3:IL2RA:CD80:CD177:LAIR2:CCR8:CCL22:TNFRSF13B:TNFRSF18	PMID: 34963056	9
RegTcell_l_Li19	Treg	Lymphoid_lineage_T/NKcell	41	12	Regulatory T cell markers according to Li et al. Cell 2019	FOXP3:IL2RA:IKZF2	PMID: 30595452	3
RegTcell_sc	Treg	Lymphoid_lineage_T/NKcell	42	12	Regulatory T cell; data-derived v9	FOXP3:CCR8:PMCH:CCR4:RTKN2:CTLA4	PMID: 34761219	6
RegTcell_Tumor_l_Zhang18	Treg	Lymphoid_lineage_T/NKcell	43	12	Regulatory T cell signature according to Zhang et al. Nature 2018 Cluster C12_CD4_CTLA4 from https://doi.org/10.1038/s41586-018-0694-x	FOXP3:CCR8:TNFRSF18:LAYN:IKZF2:RTKN2:CTLA4:BATF:IL21R	PMID: 30479382	9
CD56brightNK_sc	NKcell	Lymphoid_lineage_T/NKcell	44	13	CD56-bright cytokine secreting natural killer cell; data-derived v8	XCL1:SELL:CCR7:FUT7:KLRC1:TNFRSF18	PMID: 34761219	6
CD56dimNK_l_Danaher17	NKcell	Lymphoid_lineage_T/NKcell	45	13	CD56-dim natural killer cells; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	IL21R:KIR2DL3:KIR3DL1:KIR3DL2	PMID: 28239471	4
CD56dimNK_sc	NKcell	Lymphoid_lineage_T/NKcell	46	13	CD56-dim cytotoxic natural killer cell; data-derived v8	CD160:SPON2:FCGR3A:CCL4:FGFBP2:S1PR5:FCRL6	PMID: 34761219	7
NK_l_Danaher17	NKcell	Lymphoid_lineage_T/NKcell	47	13	Natural killer cells; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	NCR1:XCL2:XCL1	PMID: 28239471	3
NKcell_sc	NKcell	Lymphoid_lineage_T/NKcell	48	13	Natural killer cell; data-derived v9	NCR1:LIM2:KIR2DL4:KLRC1:IL18RAP:KLRF1	PMID: 34761219	6
ILC1	Innate_lymphoid_cell	Lymphoid_lineage_T/NKcell	49	14	Innate lympoid cell type 1 signature genes	EOMES:GZMB:HLA-E:IFNG:IL12RB1:IL12RB2:IL15RA:IL18RAP:IL2RB:KIR2DL1:KIR3DL1:NCR1:PRF1:RUNX3:STAT4:SYK:TBX21:TNF	PMID: 26065585	18
ILC2	Innate_lymphoid_cell	Lymphoid_lineage_T/NKcell	50	14	Innate lympoid cell type 2 signature genes	BCL11B:CRLF2:GATA3:ICOS:IL13:IL17RB:IL2RA:IL4:IL5:IL9:KIT:MPL:RORA:TSLP:VIPR2	PMID: 26065585	15
ILC3	Innate_lymphoid_cell	Lymphoid_lineage_T/NKcell	51	14	Innate lympoid cell type 3 signature genes	AHR:ARNTL:CCL20:CCR6:CD40LG:IL17A:IL17F:IL1R1:IL22:IL23R:LIF:LTA:LTBR:MADCAM1:NFKBIZ:NKX2-3:RORC:STAT3	PMID: 26065585	18
cDC_CCR7_sc	cDC	Myeloid_lineage	52	15	CCR7-positive myeloid dendritic cell or regulatory/activated/mature myeloid dendritic cell; data-derived v9	CCL22:CCL17:CCL19:HMSD:NCCRP1:UBD:CRLF2	PMID: 34761219	7
cDC_sc	cDC	Myeloid_lineage	53	15	Myeloid dendritic cell; data-derived v9	FLT3:UPK3A:CLEC9A:CCL22:ZNF366:CD1C	PMID: 34761219	6
cDC1_Combes22	cDC	Myeloid_lineage	56	15	Classical dendritic cell type 1; derived from scRNA-seq; Combes et al. Cell 2022	IDO1:C1orf54:XCR1:CLEC9A:BATF3	PMID: 34963056	5
cDC1_I_Liu2018	cDC	Myeloid_lineage	57	15	Classical dendritic cell type 1, refered to as Batf3+ DC genes; low expression associated with relapse in melanoma after adjuvant or neoadjuvant ipi+nivo; Liu et al. OncoImmunol 2018	BATF3:IRF8:THBD:CLEC9A:XRC1	PMID: 30393586	5
cDC1_sc	cDC	Myeloid_lineage	58	15	CD141-positive myeloid dendritic cell; data-derived v9	CLEC9A:XCR1:XCR1:CLNK:ENPP1:PPM1J:ZNF366	PMID: 34761219	7
cDC2_Combes22	cDC	Myeloid_lineage	59	15	Classical dendritic cell type 2; derived from scRNA-seq; Combes et al. Cell 2022	FCER1A:CD1C:CD1E:CD1D:CLEC10A	PMID: 34963056	5
cDC2_sc	cDC	Myeloid_lineage	60	15	CD1c-positive myeloid dendritic cell; data-derived v9	ENHO:CD1C:CLEC10A:CD1E	PMID: 34761219	4
pDC_sc	pDC	Myeloid_lineage	61	16	Plasmacytoid dendritic cell; data-derived v9	CLEC4C:LILRA4:LRRC26:SCT:ASIP:SLC12A3:PTCRA	PMID: 34761219	7
Macrophage_TAM	Macrophage	Myeloid_lineage	62	17	Tumor-associated macrophages(TAMs, averaging the expression levels of signature genes)	F13A1:FCER1A:CCL17:FOXQ1:ESPNL:CD1A:GATM:CCL13:PALLD:GALNT18:MAOA:RAMP1:STAB1:CCL26:CCL23:PARM1:CD1E:ITM2C:CALCRL:CRH:RGS18:MS4A6A:DHRS2:PON2:ALOX15:RAB33A:MOCOS:CCL18:IL17RB:FABP4:CMTM8:QPRT:CDR2L:DUOXA1:ABCC4:SYT17:PPP1R14A:PDGFC:GPT:FAM189A2:RASAL1:IPCEF1:ZNF366:MAP4K1:RAB30:PCED1B:TMIGD3:SH3BP4:RRS1:RNASE1	PMID: 30127393	50
Macrophage_Combes22	Macrophage	Myeloid_lineage	63	17	Macrophage; derived from scRNA-seq; Combes et al. Cell 2022	APOE:TREM2:C1QB:C1QC:VSIG4	PMID: 34963056	5
Macrophage_CXCL9_sc	Macrophage	Myeloid_lineage	64	17	CXCL9-positive macrophage; data-derived v9	CXCL10:CXCL11:CXCL9	PMID: 34761219	3
Macrophage_l_Danaher17	Macrophage	Myeloid_lineage	65	17	Macrophages; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	CD163:CD68:CD84:MS4A4A	PMID: 28239471	4
Macrophage_MARCO_sc	Macrophage	Myeloid_lineage	66	17	MARCO-positive macrophage; data-derived v9	MARCO:CXCL5:SLAMF9:MMP19	PMID: 34761219	4
Macrophage_MSR1_sc	Macrophage	Myeloid_lineage	67	17	MSR1-positive macrophage; data-derived v9	TREM2:MRC1:CD209:PLA2G7:SLCO2B1:SIGLEC1:FOLR2	PMID: 34761219	7
Macrophage_sc	Macrophage	Myeloid_lineage	68	17	Macrophage; data-derived v9	VSIG4:MSR1:CD163:TREM2:LILRB5:SDS:MRC1:SLCO2B1	PMID: 34761219	8
ClassMonocyte_Combes22	Monocyte	Myeloid_lineage	69	18	Classical monocyte; derived from scRNA-seq; Combes et al. Cell 2022; Combes et al. Cell 2022	S100A8:S100A9:VCAN:FCN1:LYZ	PMID: 34963056	5
ClassMonocyte_sc	Monocyte	Myeloid_lineage	70	18	Classical monocyte; data-derived v9	S100A12:CLEC4D:FCAR:MCEMP1	PMID: 34761219	4
NClassMonocyte_sc	Monocyte	Myeloid_lineage	71	18	Non-classical monocyte; data-derived v9	LYPD2:GPBAR1:CDH23:LIPN:MS4A14	PMID: 34761219	5
InflamMonocyte_sc	Monocyte	Myeloid_lineage	72	18	Inflammatory monocyte; data-derived v9	CCL3:SOD2:IL1B:IER3:CAMP	PMID: 34761219	5
Monocyte_sc	Monocyte	Myeloid_lineage	73	18	Monocyte; data-derived v9	CD300E:SLC11A1:CLEC12A:FCN1:LILRA5:LYPD2:S100A12	PMID: 34761219	7
Myeloid_Combes22	Myeloid	Myeloid_lineage	74	19	Myeloid; derived from FACS-sorted tumor bulk RNAseq; Combes et al. Cell 2022	CLEC10A:CD1E:CD1C:VSIG4:CD33:CD300LB:MS4A7:LY86:CLEC5A:LILRB4:FCER1A:LILRB2:CSF1R:LILRA1:ADORA3:MPEG1:FCN1:RNASE6:FPR3:CYBB:MS4A4A:MS4A4E:OLR1:CD163:WDFY4:SIGLEC7:MS4A14:SIGLEC1:CD300E	PMID: 34963056	29
Myeloid_sc	Myeloid	Myeloid_lineage	75	19	Myeloid leukocyte; data-derived v9	CSF3R:MS4A6A:MS4A7:MNDA:C5AR1:FCGR2A:C3AR1:FPR1:LILRB2:HDC:FCGR3B:CCL22	PMID: 34761219	12
Basophil_sc	Granulocyte	Myeloid_lineage	76	20	Basophil; data-derived v9	CLC:MS4A3:HDC:CPA3:IL4	PMID: 34761219	5
Eosinophil_sc	Granulocyte	Myeloid_lineage	77	20	Eosinophil; data-derived v9	CLC:PRG2:EPX:RNASE3:RNASE2:CD24:SIGLEC8:FUT9:CCR3	PMID: 34761219	9
Granulocyte_sc	Granulocyte	Myeloid_lineage	78	20	Granulocyte; data-derived v9	MPO:CTSG:FCGR3B:CLC:HDC	PMID: 34761219	5
Neutrophil_sc	Granulocyte	Myeloid_lineage	79	20	Neutrophil; data-derived v9	ELANE:MPO:PRTN3:CTSG:AZU1:FCGR3B	PMID: 34761219	6
Mast_sc	Mast	Myeloid_lineage	80	21	Mast cell; data-derived v8	TPSAB1:CPA3:HPGDS:VWA5A	PMID: 34761219	4
Mast_l_Danaher17	Mast	Myeloid_lineage	81	21	Mast cells; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	MS4A2:TPSAB1:CPA3:HDC:TPSB2	PMID: 28239471	5
Erythrocyte_sc	Erythrocyte	Myeloid_lineage	82	22	Erythrocyte; data-derived v8	PAN3:KCNN4:ERMAP:TPM1:HBB:AHSP:CA1:HBD	PMID: 34761219	8
Platelet_sc	Platelet	Myeloid_lineage	83	23	Platelet; data-derived v9	ACRBP:GP9:ITGB3:PF4:PPBP:TREML1:TMEM40	PMID: 34761219	7
HematoStem_sc	Stem	Mesenchymal_lineage	84	24	Hematopoietic stem cell; additional marker genes, mainly from PangalaoDB (May20)	AVP:CRHBP:CD34:NRIP1	PMID: 34761219	4
Stroma_Combes22	Stroma	Mesenchymal_lineage	85	25	Non-immune CD45-, CD44+ and Thy1+ stromal cells; derived from FACS-sorted tumor bulk RNAseq; Combes et al. Cell 2022	CDH11:DCN:PDGFRA:COL1A2:ISLR:COL1A1:COL14A1:FNDC1:BGN:COL5A2:POSTN:PCDH18:ADAMTS12:MXRA5:SULF1:EDNRA:PRRX1:COL3A1:THY1:LUM:COL12A1	PMID: 34963056	21
Pericyte_sc	Pericyte	Mesenchymal_lineage	86	26	Pericyte; data-derived v8	SOD3:CSPG4:RGS5:NDUFA4L2:COX4I2	PMID: 34761219	5
Nurmik_CAFs	Fibroblast	Mesenchymal_lineage	87	27	Cancer-associated fibroblasts (CAFs, averaging the expression levels of signature genes )	FAP:ACTA2:MFAP5:COL11A1:TN-C	PMID: 30734283	5
Fibroblast_sc	Fibroblast	Mesenchymal_lineage	88	27	Fibroblast; data-derived v9	PDGFRB:DCN:PCOLCE:EMILIN1:CYGB:MFAP4:TCF21:BGN:ACTA2	PMID: 34761219	9
InflamFibroblast_sc	Fibroblast	Mesenchymal_lineage	89	27	Inflammatory fibroblast; data-derived v9	IL11:CHI3L1:WNT2:CEMIP:COL7A1:MMP3	PMID: 34761219	6
Endothelial_sc	Endothelial	Mesenchymal_lineage	90	28	Endothelial cell; data-derived v9	CDH5:ECSCR:CCL14:KDR:TIE1:PCAT19:MYCT1:FLT4	PMID: 34761219	8
Endothelial_Kahn20	Endothelial	Mesenchymal_lineage	91	28	Endothelial classifier using ElasticNet as transcriptional predictor for tumor vascularity, Kahn et al. 2020 https://www.jci.org/articles/view/136655.	ANGPT2:CDH5:ESAM:ESM1:ERG:ICAM2:TIE1	PMID: 33258803	7
Cholangiocyte_sc	Epithelial	Mesenchymal_lineage	92	29	Cholangiocyte; data-derived v8	KRT7:SOX9:EPCAM:KRT19:TFF1:CLDN4:MMP7:TFF2:SFRP5:SLC12A2:CITED4:FGFR2:CD24	PMID: 34761219	13
Epithelial_sc	Epithelial	Mesenchymal_lineage	93	29	Epithelial cell; data-derived v9	EPCAM:KLK1:SMIM22:LGALS4:CLDN7:CDH1:HMGCS2	PMID: 34761219	7
Mesothelial_sc	Mesothelial	Mesenchymal_lineage	94	30	Mesothelial cell; data-derived v8	CCDC80:UPK3B:PLA2G2A:PTGIS:PRG4:CALB2	PMID: 34761219	6
Adipocyte_sc	Adipocyte	Mesenchymal_lineage	95	31	Adipocyte; additional marker genes, mainly from PangalaoDB (May20)	LEP:FABP4:TCF21:ADIPOQ:P2RX5:UCP1:CIDEA:PRDM16:LHX8	PMID: 34761219	9
Hepatocyte_sc	Hepatocyte	Mesenchymal_lineage	96	32	Hepatocyte; data-derived v8	ALDOB:APOH:PCK1:APOC3:TAT	PMID: 34761219	5
PancreaticEndocrine_sc	Pancreatic	Mesenchymal_lineage	97	33	Pancreatic endocrine cell; data-derived v8	GCG:GC:IRX2:CRYBA2:INS:IAPP:HADH:ADCYAP1:MAFA:LEPR:RGS2:RBP4:BAIAP3:PPY:STMN2:DPYSL3:FGB:MEIS1	PMID: 34761219	18
Pneumocyte_sc	Pneumocyte	Mesenchymal_lineage	98	34	Pneumocyte; data-derived v8	ABCA3:PGC:AGER:NAPSA:SPTB:CFTR	PMID: 34761219	6
Anti apoptosis pathway	Apoptosis_pathway	Functional_group	99	35	Antiapoptosis genes	BCL2:BCL2L1:BCL2L2:MCL1	PMID:30792387	4
Pro apoptotic pathway	Apoptosis_pathway	Functional_group	100	35	Proapoptotic genes	BAX:BID:BAD:BBC3:PMAIP1:BCL2L11:CASP3:CASP8:CASP9:FAS:FASLG:TNF	PMID: 30792387	12
Fehrenbacher_Teff	IFNg_pathway	Functional_group	101	36	Fehrenbacher T-effector-IFN-y signature (Averaging the expression levels of T-effector IFN-? signature genes)	CD8A:GZMA:GZMB:IFNG:EOMES:CXCL9:CXCL10:TBX21	PMID: 26970723	8
Ayers_IFNg6	IFNg_pathway	Functional_group	102	36	IFNG signature Ayers et al. JCI 2017	IDO1:CXCL10:CXCL9:HLA-DRA:STAT1:IFNG	PMID: 28650338	6
Ayers_IFNg18	IFNg_pathway	Functional_group	103	36	Expanded immune gene signature, Ayers et al. JCI 2017	CD3D:IDO1:CIITA:CD3E:CCL5:GZMK:CD2:HLA-DRA:CXCL13:IL2RG:NKG7:HLA-E:CXCR6:LAG3:TAGAP:CXCL10:STAT1:GZMB	PMID: 28650338	18
IFNG_l_Rozeman21	IFNg_pathway	Functional_group	104	36	IFNG signature, CIT response-associated melanoma Rozeman et al. Nat Medicine 2021	IFNG:CCR5:CXCL11:IDO1:PRF1:GZMA:HLA-DRA:CXCL10:CXCL9:STAT1	PMID: 33558721	10
TGFb_pan	TGFb_pathway	Functional_group	105	37	A pan-fibroblast TGFb response signature set (Pan-F-TBRS) by Gene expression profiling	ACTA2:ACTG2:ADAM12:ADAM19:CNN1:COL4A1:CTGF:CTPS1:FAM101B:FSTL3:HSPB1:IGFBP3:PXDC1:SEMA7A:SH3PXD2A:TAGLN:TGFBI:TNS1:TPM1	PMID: 29443960	19
EMT1	TGFb_pathway	Functional_group	106	37	Epithelial-tomesenchymal transition EMT1 by Gene expression profiling	CLDN3:CLDN7:CLDN4:CDH1:VIM:TWIST1:ZEB1:ZEB2	PMID: 29443960	8
EMT2	TGFb_pathway	Functional_group	107	37	Epithelial-tomesenchymal transition EMT2 by Gene expression profiling	AXL:FAP:LOXL2:ROR2:TAGLN:TWIST2:WNT5A	PMID: 29443960	7
EMT3	TGFb_pathway	Functional_group	108	37	Epithelial-tomesenchymal transition EMT3 by Gene expression profiling	FOXF1:GATA6:SOX9:TWIST1:ZEB1:ZEB2	PMID: 29443960	6
TGFb_set	TGFb_pathway	Functional_group	109	37	TGF-beta pathway genes	TGFB1:ACVR1:TGFBR2	PMID: 29443960	3
TGFb_CCR	TGFb_pathway	Functional_group	110	37	Cytokine-cytokine receptor interaction	ACVR1:CCL24:FLT4:IFNGR1:IL4R:IL6ST:KIT:LIF:PDGFA:PDGFRB:TGFB1:TGFBR2:TNFRSF10B:TNFRSF14:TNFRSF1A	PMID: 29443960	15
